trial	group	subject	repetition	wantedFeeder
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
training	oneLayer	oneLayer - rat 2	0	7
