trial	subject	repetition	x	y	random
train	rat4	0	0.24121305	-0.0073654223	false
train	rat4	0	0.24121305	0.0026345777	false
train	rat4	0	0.24121305	0.012634577	false
train	rat4	0	0.24121305	0.022634577	false
train	rat4	0	0.24121304	0.03263458	false
train	rat4	0	0.24121304	0.042634577	false
train	rat4	0	0.23414198	0.049705643	false
train	rat4	0	0.2270709	0.056776706	false
train	rat4	0	0.21999983	0.06384777	false
train	rat4	0	0.21999982	0.07384777	false
train	rat4	0	0.22707088	0.08091884	false
train	rat4	0	0.22707088	0.09091884	false
train	rat4	0	0.22707088	0.10091884	false
train	rat4	0	0.22707088	0.11091884	false
train	rat4	0	0.2199998	0.117989905	false
train	rat4	0	0.2099998	0.1179899	false
train	rat4	0	0.19999981	0.1179899	false
train	rat4	0	0.19292875	0.11091883	false
train	rat4	0	0.18585768	0.10384776	false
train	rat4	0	0.17878662	0.09677669	false
train	rat4	0	0.17171554	0.10384775	false
train	rat4	0	0.16171554	0.10384774	false
train	rat4	0	0.15171555	0.10384774	false
train	rat4	0	0.14171554	0.103847735	false
train	rat4	0	0.13171555	0.103847735	false
train	rat4	0	0.12464448	0.09677666	false
train	rat4	0	0.11757342	0.08970559	false
train	rat4	0	0.10757341	0.08970559	false
train	rat4	0	0.097573414	0.08970558	false
train	rat4	0	0.08757342	0.08970558	false
train	rat4	0	0.07757342	0.08970557	false
train	rat4	0	0.07050235	0.096776634	false
train	rat4	0	0.06343128	0.103847705	false
train	rat4	0	0.056360204	0.11091877	false
train	rat4	0	0.049289133	0.11798983	false
train	rat4	0	0.04928913	0.12798983	false
train	rat4	0	0.04221806	0.13506089	false
train	rat4	0	0.03514699	0.14213195	false
train	rat4	0	0.028075919	0.14920303	false
train	rat4	0	0.021004848	0.1562741	false
train	rat7	0	0.0070710676	-0.34292892	false
train	rat7	0	0.014142135	-0.33585787	false
train	rat7	0	0.021213202	-0.3287868	false
train	rat7	0	0.031213202	-0.3287868	false
train	rat7	0	0.03828427	-0.33585787	false
train	rat7	0	0.04535534	-0.34292892	false
train	rat7	0	0.052426405	-0.35	false
train	rat7	0	0.059497472	-0.35707107	false
train	rat7	0	0.06949747	-0.35707107	false
train	rat7	0	0.07949747	-0.35707107	false
train	rat7	0	0.08949747	-0.35707107	false
train	rat7	0	0.099497475	-0.35707107	false
train	rat7	0	0.10656854	-0.36414212	false
train	rat7	0	0.11363961	-0.3712132	false
train	rat7	0	0.12071067	-0.37828428	false
train	rat7	0	0.12071067	-0.38828427	false
train	rat7	0	0.11363961	-0.39535534	false
train	rat7	0	0.10656854	-0.4024264	false
train	rat7	0	0.09656854	-0.4024264	false
train	rat7	0	0.08949747	-0.40949747	false
train	rat7	0	0.08949747	-0.41949746	false
train	rat7	0	0.08949747	-0.42949745	false
train	rat7	0	0.08949747	-0.43949747	false
train	rat7	0	0.08949747	-0.44949746	false
train	rat7	0	0.0824264	-0.45656854	false
train	rat7	0	0.07535533	-0.4636396	false
train	rat7	0	0.06535533	-0.4636396	false
train	rat7	0	0.055355333	-0.4636396	false
train	rat7	0	0.04535533	-0.4636396	false
train	rat7	0	0.035355333	-0.4636396	false
train	rat7	0	0.025355332	-0.4636396	false
train	rat7	0	0.018284265	-0.45656854	false
train	rat7	0	0.018284267	-0.44656852	false
train	rat7	0	0.018284269	-0.43656853	false
train	rat7	0	0.018284269	-0.42656854	false
train	rat7	0	0.011213203	-0.41949746	false
train	rat7	0	0.004142136	-0.41242638	false
train	rat7	0	0.004142135	-0.4224264	false
train	rat7	0	0.0041421335	-0.4324264	false
train	rat7	0	-0.0029289348	-0.43949747	false
train	rat7	0	-0.0100000035	-0.44656852	false
train	rat7	0	-0.017071072	-0.4536396	false
train	rat7	0	-0.027071072	-0.4536396	false
train	rat7	0	-0.03707107	-0.4536396	false
train	rat7	0	-0.04414214	-0.46071064	false
train	rat7	0	-0.03707107	-0.46778172	false
train	rat7	0	-0.027071074	-0.46778172	false
train	rat7	0	-0.017071074	-0.46778172	false
train	rat7	0	-0.0070710736	-0.46778172	false
train	rat7	0	0.0029289261	-0.46778172	false
