x	y	angle
0.30000004	-0.35000005	3.1415927
0.30000004	-0.40000007	NA
0.30000004	-0.45000008	NA
0.35000005	0.5	NA
0.35000005	0.45	NA
0.35000005	0.39999998	NA
0.35000005	0.34999996	NA
0.35000005	0.29999995	NA
0.35000005	0.24999996	2.3561945
0.35000005	0.19999996	2.3561945
0.35000005	0.14999996	2.3561945
0.35000005	0.099999964	2.3561945
0.35000005	0.049999963	2.3561945
0.35000005	-3.7252903E-8	2.3561945
0.35000005	-0.050000038	2.3561945
0.35000005	-0.10000004	3.1415927
0.35000005	-0.15000004	2.3561945
0.35000005	-0.20000003	2.3561945
0.35000005	-0.25000003	2.3561945
0.35000005	-0.30000004	3.1415927
0.35000005	-0.35000005	NA
0.35000005	-0.40000007	NA
0.35000005	-0.45000008	NA
0.40000007	0.5	NA
0.40000007	0.45	NA
0.40000007	0.39999998	NA
0.40000007	0.34999996	NA
0.40000007	0.29999995	2.3561945
0.40000007	0.24999996	2.3561945
0.40000007	0.19999996	2.3561945
0.40000007	0.14999996	2.3561945
0.40000007	0.099999964	2.3561945
0.40000007	0.049999963	2.3561945
0.40000007	-3.7252903E-8	2.3561945
0.40000007	-0.050000038	2.3561945
0.40000007	-0.10000004	2.3561945
0.40000007	-0.15000004	2.3561945
0.40000007	-0.20000003	2.3561945
0.40000007	-0.25000003	2.3561945
0.40000007	-0.30000004	NA
0.40000007	-0.35000005	NA
0.40000007	-0.40000007	NA
0.40000007	-0.45000008	NA
0.45000008	0.5	NA
0.45000008	0.45	NA
0.45000008	0.39999998	NA
0.45000008	0.34999996	NA
0.45000008	0.29999995	2.3561945
0.45000008	0.24999996	2.3561945
0.45000008	0.19999996	2.3561945
0.45000008	0.14999996	2.3561945
0.45000008	0.099999964	2.3561945
0.45000008	0.049999963	2.3561945
0.45000008	-3.7252903E-8	2.3561945
0.45000008	-0.050000038	2.3561945
0.45000008	-0.10000004	2.3561945
0.45000008	-0.15000004	2.3561945
0.45000008	-0.20000003	2.3561945
0.45000008	-0.25000003	2.3561945
0.45000008	-0.30000004	NA
0.45000008	-0.35000005	NA
0.45000008	-0.40000007	NA
0.45000008	-0.45000008	NA
